Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction,JobSatisfaction2
Spain,Male,49,"Independent contractor, freelancer, or self-employed",Technology,Doctoral degree,Other,40000,EUR,Engineer,Fine,Matlab,No,None,9,9
Mexico,Male,36,Employed full-time,Academic,Master's degree,Electrical Engineering,3.00E+05,MXN,Researcher,Fine,Python,Yes,76-99% of projects,8,8
Colombia,Male,38,Employed full-time,Technology,Doctoral degree,Mathematics or statistics,1.20E+07,COP,Scientist/Researcher,Fine,Python,No,100% of projects,9,9
Italy,Male,42,Employed full-time,Other,Bachelor's degree,Physics,40000,EUR,Software Developer/Software Engineer,Poorly,Python,No,Less than 10% of projects,5,5
United States,Male,29,Employed full-time,Government,Master's degree,A social science,80000,USD,Researcher,Fine,R,Yes,100% of projects,7,7
Brazil,Male,44,Employed full-time,Technology,Doctoral degree,Engineering (non-computer focused),3.00E+05,BRL,Machine Learning Engineer,Fine,R,Yes,None,8,8
United States,Male,28,Employed full-time,Financial,Bachelor's degree,Mathematics or statistics,80000,USD,Data Analyst,Fine,Python,No,10-25% of projects,6,6
Other,Male,39,Employed full-time,Academic,Master's degree,Mathematics or statistics,15600,SVC,Other,Perfectly,R,Yes,26-50% of projects,8,8
United States,Male,50,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),55000,USD,Computer Scientist,Perfectly,C/C++/C#,Sort of (Explain more),76-99% of projects,2,2
United States,Female,48,Employed full-time,Government,Master's degree,Management information systems,126000,USD,Data Analyst,Fine,SQL,Yes,26-50% of projects,4,4
Brazil,Male,35,Employed full-time,Technology,Bachelor's degree,Computer Science,240000,BRL,Software Developer/Software Engineer,Fine,Python,Yes,26-50% of projects,7,7
Nigeria,A different identity,20,"Independent contractor, freelancer, or self-employed",Technology,Bachelor's degree,Computer Science,80000,NGN,Computer Scientist,Perfectly,Python,Yes,26-50% of projects,6,6
Brazil,Male,34,"Independent contractor, freelancer, or self-employed",Retail,Doctoral degree,Electrical Engineering,60000,BRL,Scientist/Researcher,Fine,Python,Yes,51-75% of projects,7,7
Australia,Male,50,"Independent contractor, freelancer, or self-employed",Insurance,Master's degree,Mathematics or statistics,310000,AUD,Data Miner,Fine,Python,Sort of (Explain more),Less than 10% of projects,9,9
France,Male,23,Employed full-time,Financial,Master's degree,Other,80000,EUR,Statistician,Poorly,Other,Yes,26-50% of projects,8,8
United States,Male,54,"Independent contractor, freelancer, or self-employed",Military/Security,Doctoral degree,Mathematics or statistics,150000,USD,Predictive Modeler,Poorly,Python,Sort of (Explain more),Less than 10% of projects,8,8
United States,Male,50,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),120000,USD,Operations Research Practitioner,Fine,R,Sort of (Explain more),76-99% of projects,6,6
Australia,Male,27,Employed full-time,Insurance,Master's degree,Mathematics or statistics,60000,AUD,Data Miner,Fine,R,Yes,76-99% of projects,10 - Highly Satisfied,10
United States,Male,31,Employed full-time,Military/Security,Some college/university study without earning a bachelor's degree,Computer Science,71000,USD,Other,Poorly,Python,No,51-75% of projects,8,8
United States,Male,46,Employed full-time,Other,Master's degree,Biology,175000,USD,Other,Perfectly,Python,No,Less than 10% of projects,7,7
United States,Female,34,Employed full-time,Pharmaceutical,Doctoral degree,Mathematics or statistics,240000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),51-75% of projects,10 - Highly Satisfied,10
Hungary,Male,25,Employed part-time,Other,Bachelor's degree,Engineering (non-computer focused),150000,DKK,Machine Learning Engineer,Fine,Python,Yes,51-75% of projects,10 - Highly Satisfied,10
India,Male,34,Employed full-time,Technology,Master's degree,Other,3200000,INR,Business Analyst,Fine,R,Sort of (Explain more),100% of projects,1 - Highly Dissatisfied,1
India,Male,35,Employed full-time,Insurance,Master's degree,Engineering (non-computer focused),3100000,INR,Data Analyst,Fine,R,No,76-99% of projects,8,8
Germany,Female,29,Employed full-time,Retail,Master's degree,Computer Science,46000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,Less than 10% of projects,5,5
Russia,Female,32,Employed full-time,Mix of fields,Doctoral degree,Computer Science,10000,RUB,Scientist/Researcher,Fine,Python,Yes,51-75% of projects,3,3
India,Male,23,Employed full-time,Other,Bachelor's degree,Engineering (non-computer focused),825000,INR,Business Analyst,Fine,R,No,51-75% of projects,5,5
Japan,Male,39,Employed full-time,Manufacturing,Master's degree,Computer Science,8.00E+06,JPY,Researcher,Fine,Python,No,51-75% of projects,3,3
Germany,Male,33,Employed full-time,Academic,Doctoral degree,Computer Science,60000,EUR,Researcher,Fine,Python,Yes,100% of projects,8,8
Italy,Male,42,Employed full-time,Mix of fields,Some college/university study without earning a bachelor's degree,Computer Science,38000,EUR,Researcher,Fine,Python,No,26-50% of projects,7,7
India,Male,29,Employed full-time,Retail,Bachelor's degree,Computer Science,450000,INR,Data Analyst,Fine,R,No,100% of projects,4,4
India,Female,24,Employed full-time,Pharmaceutical,Bachelor's degree,Computer Science,1200000,INR,Data Analyst,Fine,SQL,Sort of (Explain more),51-75% of projects,6,6
Switzerland,Male,45,Employed full-time,Internet-based,Bachelor's degree,"Information technology, networking, or system administration",125000,CHF,Business Analyst,Poorly,R,Sort of (Explain more),51-75% of projects,8,8
Republic of China,Male,31,Employed full-time,Technology,Doctoral degree,Electrical Engineering,5.00E+05,YER,Machine Learning Engineer,Perfectly,Python,Yes,10-25% of projects,7,7
United States,Male,39,Employed full-time,Financial,Doctoral degree,Mathematics or statistics,2.00E+05,USD,Researcher,Poorly,R,Yes,76-99% of projects,8,8
Germany,Male,55,Employed full-time,Other,Master's degree,Computer Science,1.00E+05,EUR,Machine Learning Engineer,Perfectly,Python,Sort of (Explain more),10-25% of projects,9,9
Italy,Male,63,Employed full-time,Academic,Master's degree,Mathematics or statistics,1.00E+05,EUR,Scientist/Researcher,Perfectly,Python,Yes,10-25% of projects,10 - Highly Satisfied,10
Nigeria,Male,24,Employed full-time,Manufacturing,Master's degree,Mathematics or statistics,4.00E+05,NGN,Business Analyst,Fine,Python,Yes,10-25% of projects,10 - Highly Satisfied,10
Taiwan,Male,34,Employed full-time,Technology,Master's degree,Management information systems,70000,USD,Machine Learning Engineer,Fine,Python,Yes,51-75% of projects,6,6
United States,Male,31,Employed full-time,Technology,Bachelor's degree,Mathematics or statistics,120000,USD,Data Analyst,Fine,R,Yes,100% of projects,7,7
United States,Male,31,Employed full-time,Internet-based,Master's degree,"Information technology, networking, or system administration",350000,USD,Software Developer/Software Engineer,Fine,Python,No,26-50% of projects,7,7
Other,Male,39,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,18000,EUR,Statistician,Poorly,R,Yes,76-99% of projects,8,8
Philippines,Male,45,Employed full-time,Other,Doctoral degree,Mathematics or statistics,1.00E+06,PHP,Researcher,Poorly,Python,Yes,51-75% of projects,9,9
United States,Female,43,Employed full-time,Government,Doctoral degree,Physics,135000,USD,Engineer,Poorly,Python,Sort of (Explain more),51-75% of projects,8,8
Iran,Female,44,Employed full-time,Academic,Doctoral degree,Computer Science,2.50E+07,IRR,Researcher,Perfectly,R,Sort of (Explain more),26-50% of projects,6,6
Other,Male,42,Employed full-time,Telecommunications,Master's degree,Computer Science,30000,AED,Business Analyst,Fine,R,Sort of (Explain more),Less than 10% of projects,8,8
United States,Female,40,Employed full-time,Mix of fields,Master's degree,Electrical Engineering,152000,USD,Engineer,Perfectly,Python,No,76-99% of projects,9,9
United States,Male,25,Employed full-time,Manufacturing,Master's degree,A social science,74800,USD,Predictive Modeler,Fine,Python,Sort of (Explain more),26-50% of projects,5,5
Germany,Male,41,Employed full-time,CRM/Marketing,Bachelor's degree,Computer Science,55000,EUR,Other,Perfectly,Python,Sort of (Explain more),51-75% of projects,4,4
Other,Male,24,Employed full-time,CRM/Marketing,Bachelor's degree,Computer Science,38000,BRL,Data Analyst,Poorly,Python,Sort of (Explain more),26-50% of projects,5,5
Other,Female,22,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Computer Science,4000,EUR,Predictive Modeler,Fine,Python,Sort of (Explain more),100% of projects,9,9
United States,Male,34,Employed full-time,Government,Doctoral degree,Psychology,77900,USD,Scientist/Researcher,Fine,R,Yes,51-75% of projects,7,7
Czech Republic,Male,57,"Independent contractor, freelancer, or self-employed",Academic,Doctoral degree,A health science,1.00E+06,CZK,Scientist/Researcher,Fine,Matlab,Yes,51-75% of projects,7,7
United States,Male,22,Employed full-time,Insurance,Bachelor's degree,A social science,65000,USD,Data Analyst,Fine,R,No,76-99% of projects,7,7
United States,Female,23,Employed full-time,Non-profit,Master's degree,Other,68000,USD,Data Analyst,Fine,Python,Sort of (Explain more),51-75% of projects,7,7
Philippines,"Non-binary, genderqueer, or gender non-conforming",27,Employed full-time,Other,Some college/university study without earning a bachelor's degree,Computer Science,533000,PHP,Predictive Modeler,Fine,Python,No,76-99% of projects,6,6
France,Male,26,Employed full-time,Retail,Master's degree,Mathematics or statistics,46000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,26-50% of projects,8,8
United States,Male,45,Employed full-time,Insurance,Master's degree,Engineering (non-computer focused),2.00E+05,USD,Statistician,Fine,Python,Sort of (Explain more),Less than 10% of projects,8,8
Japan,Male,28,Employed full-time,Financial,Master's degree,Mathematics or statistics,7.00E+06,JPY,Data Analyst,Poorly,R,No,26-50% of projects,8,8
Australia,Male,32,Employed full-time,Mix of fields,Some college/university study without earning a bachelor's degree,Electrical Engineering,137000,AUD,Other,Poorly,R,Yes,100% of projects,5,5
South Korea,Male,48,Employed full-time,Financial,Doctoral degree,Other,2.00E+08,KRW,Other,Fine,R,No,Less than 10% of projects,7,7
United States,Female,27,Employed full-time,Academic,Master's degree,Mathematics or statistics,30000,USD,Statistician,Perfectly,Python,Yes,26-50% of projects,4,4
Hong Kong,"Non-binary, genderqueer, or gender non-conforming",40,"Independent contractor, freelancer, or self-employed",Other,Master's degree,"Information technology, networking, or system administration",10000,USD,Data Analyst,Fine,Python,Sort of (Explain more),Less than 10% of projects,6,6
Taiwan,Male,26,Employed full-time,Technology,Master's degree,Computer Science,6.00E+05,TWD,Engineer,Fine,Python,No,10-25% of projects,3,3
India,Male,29,Employed full-time,Technology,Master's degree,Mathematics or statistics,8.00E+05,INR,Software Developer/Software Engineer,Perfectly,Python,No,10-25% of projects,6,6
United States,Male,28,Employed full-time,Retail,Master's degree,"Information technology, networking, or system administration",1.00E+05,USD,DBA/Database Engineer,Poorly,Python,No,100% of projects,4,4
India,Male,22,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,4.00E+05,INR,Business Analyst,Perfectly,R,Sort of (Explain more),10-25% of projects,7,7
Russia,Male,46,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,80000,RUB,Scientist/Researcher,Fine,R,Yes,26-50% of projects,8,8
South Korea,Male,57,"Independent contractor, freelancer, or self-employed",Academic,Doctoral degree,Electrical Engineering,6.00E+07,KRW,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,7,7
Germany,Female,30,Employed full-time,Other,Master's degree,Mathematics or statistics,50000,EUR,Data Analyst,Perfectly,C/C++/C#,Yes,51-75% of projects,9,9
Iran,Female,41,Employed full-time,Other,Master's degree,Computer Science,1800000,IRR,Other,Perfectly,Python,Sort of (Explain more),26-50% of projects,9,9
Germany,Male,26,Employed full-time,Military/Security,Bachelor's degree,Computer Science,44000,EUR,Computer Scientist,Poorly,Python,Yes,51-75% of projects,6,6
Other,Male,34,Employed full-time,Academic,Doctoral degree,Computer Science,1700,TND,Scientist/Researcher,Perfectly,Java,Yes,Less than 10% of projects,2,2
Iran,Male,35,Employed part-time,Technology,Doctoral degree,Computer Science,4.20E+08,IRR,Computer Scientist,Perfectly,R,Sort of (Explain more),10-25% of projects,6,6
Spain,Male,42,"Independent contractor, freelancer, or self-employed",Internet-based,Doctoral degree,Computer Science,50000,EUR,Software Developer/Software Engineer,Fine,Python,No,10-25% of projects,8,8
India,Male,37,Employed full-time,Telecommunications,Master's degree,Computer Science,2600000,INR,Other,Fine,R,Sort of (Explain more),Less than 10% of projects,7,7
Germany,Male,43,Employed full-time,Mix of fields,Doctoral degree,Physics,106000,EUR,Other,Fine,Python,No,Less than 10% of projects,7,7
Taiwan,Male,28,Employed full-time,Telecommunications,Master's degree,Electrical Engineering,1500000,TWD,Other,Fine,Python,Yes,10-25% of projects,6,6
South Africa,Female,28,Employed full-time,Manufacturing,Master's degree,Electrical Engineering,780723,ZAR,Machine Learning Engineer,Fine,Python,Yes,76-99% of projects,6,6
United Kingdom,Male,45,Employed full-time,Other,Doctoral degree,Physics,60000,GBP,Predictive Modeler,Fine,R,Yes,26-50% of projects,6,6
Singapore,Male,40,Employed full-time,Government,Master's degree,Electrical Engineering,150000,SGD,Programmer,Fine,Python,No,10-25% of projects,7,7
Australia,Female,32,Employed full-time,Financial,Master's degree,Computer Science,70000,AUD,Data Analyst,Fine,R,Yes,10-25% of projects,5,5
Russia,Male,29,Employed full-time,Military/Security,Master's degree,Electrical Engineering,1100000,RUB,Scientist/Researcher,Fine,C/C++/C#,No,100% of projects,7,7
India,Female,41,Employed full-time,Mix of fields,Master's degree,Engineering (non-computer focused),975000,INR,Software Developer/Software Engineer,Perfectly,Python,Yes,Less than 10% of projects,5,5
People 's Republic of China,Male,30,Employed full-time,Internet-based,Doctoral degree,Computer Science,130000,CNY,Researcher,Fine,Python,Yes,76-99% of projects,8,8
United States,Male,48,Employed full-time,Insurance,Master's degree,Mathematics or statistics,175000,USD,Predictive Modeler,Perfectly,R,Sort of (Explain more),100% of projects,9,9
Brazil,Male,45,Employed full-time,Technology,Master's degree,Computer Science,180000,BRL,Machine Learning Engineer,Fine,R,Yes,76-99% of projects,9,9
United States,Female,33,Employed full-time,Academic,Doctoral degree,Other,50000,USD,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),100% of projects,5,5
South Africa,Female,33,Employed full-time,Mix of fields,Bachelor's degree,Mathematics or statistics,228000,ZAR,Data Analyst,Fine,R,Sort of (Explain more),76-99% of projects,8,8
Czech Republic,Male,28,"Independent contractor, freelancer, or self-employed",Internet-based,Master's degree,A social science,360000,CZK,Data Analyst,Fine,Python,Sort of (Explain more),76-99% of projects,7,7
South Africa,Male,33,Employed full-time,Manufacturing,Bachelor's degree,Engineering (non-computer focused),850000,ZAR,Other,Fine,R,Yes,76-99% of projects,3,3
Germany,Male,24,Employed full-time,Internet-based,Bachelor's degree,Computer Science,50000,EUR,Software Developer/Software Engineer,Fine,SQL,Yes,10-25% of projects,7,7
Canada,Male,39,Employed full-time,CRM/Marketing,Doctoral degree,Electrical Engineering,1.00E+05,CAD,Predictive Modeler,Poorly,Python,Yes,Less than 10% of projects,3,3
Russia,Female,22,Employed full-time,Financial,Master's degree,Computer Science,1300000,RUB,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,10 - Highly Satisfied,10
Russia,Male,33,Employed full-time,Internet-based,Master's degree,Physics,2.00E+06,RUB,Other,Perfectly,Python,No,Less than 10% of projects,10 - Highly Satisfied,10
Brazil,Male,29,Employed full-time,Academic,Doctoral degree,Computer Science,45000,BRL,Computer Scientist,Fine,Python,Yes,76-99% of projects,7,7
Colombia,Male,35,Employed full-time,Academic,Master's degree,"Information technology, networking, or system administration",3.50E+07,COP,Data Analyst,Fine,R,Sort of (Explain more),76-99% of projects,8,8
Spain,Male,47,Employed full-time,Financial,Master's degree,Electrical Engineering,50000,EUR,Data Analyst,Perfectly,R,Yes,10-25% of projects,10 - Highly Satisfied,10
United States,Female,26,Employed part-time,Academic,Master's degree,Psychology,20000,USD,Scientist/Researcher,Fine,Python,No,10-25% of projects,5,5
United States,Male,31,Employed full-time,Academic,Doctoral degree,Computer Science,94000,USD,Software Developer/Software Engineer,Fine,Python,Yes,76-99% of projects,8,8
United States,Male,56,Employed full-time,Government,Master's degree,Computer Science,96,USD,Programmer,Poorly,Python,Sort of (Explain more),51-75% of projects,3,3
United States,Male,51,Employed full-time,Technology,Master's degree,A social science,135000,USD,Software Developer/Software Engineer,Perfectly,R,No,100% of projects,7,7
United States,Male,30,Employed full-time,Other,Bachelor's degree,Computer Science,60000,USD,Data Analyst,Fine,Python,Sort of (Explain more),76-99% of projects,7,7
Mexico,Male,32,Employed full-time,Retail,Bachelor's degree,Mathematics or statistics,35000,MXN,Scientist/Researcher,Perfectly,R,Yes,Less than 10% of projects,10 - Highly Satisfied,10
France,Female,26,Employed full-time,Academic,Doctoral degree,Other,16000,EUR,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),100% of projects,5,5
Brazil,Male,27,Employed full-time,Technology,Bachelor's degree,Other,45000,BRL,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,7,7
United States,Male,36,Employed full-time,Government,Doctoral degree,Biology,1.00E+05,USD,Scientist/Researcher,Fine,R,Sort of (Explain more),76-99% of projects,1 - Highly Dissatisfied,1
People 's Republic of China,Female,26,Employed full-time,Financial,Master's degree,Physics,12000,CNY,Business Analyst,Fine,Python,No,100% of projects,3,3
Japan,Female,33,Employed full-time,CRM/Marketing,Master's degree,Computer Science,8.00E+06,JPY,Machine Learning Engineer,Fine,R,Yes,26-50% of projects,5,5
Taiwan,Male,23,Employed part-time,Government,Bachelor's degree,Computer Science,16000,TWD,Software Developer/Software Engineer,Fine,R,Sort of (Explain more),Less than 10% of projects,6,6
United States,Male,31,Employed full-time,Other,Bachelor's degree,Engineering (non-computer focused),80000,USD,Data Analyst,Fine,SQL,No,51-75% of projects,5,5
Australia,Male,44,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Computer Science,160000,AUD,Other,Fine,Python,Yes,10-25% of projects,8,8
New Zealand,Female,61,"Independent contractor, freelancer, or self-employed",Financial,Master's degree,A social science,120000,NZD,Statistician,Fine,SAS,Yes,26-50% of projects,7,7
Denmark,Male,57,Employed full-time,Pharmaceutical,Doctoral degree,Mathematics or statistics,7.00E+05,DKK,Statistician,Perfectly,R,No,51-75% of projects,10 - Highly Satisfied,10
Germany,Male,34,Employed full-time,Internet-based,Doctoral degree,Physics,55000,EUR,Data Analyst,Poorly,R,Yes,10-25% of projects,4,4
Other,Male,24,Employed part-time,Academic,Master's degree,Computer Science,2.00E+05,UGX,Computer Scientist,Fine,Python,Yes,Less than 10% of projects,5,5
India,Female,23,Employed full-time,Other,Bachelor's degree,Engineering (non-computer focused),624000,INR,Data Analyst,Perfectly,Python,Sort of (Explain more),76-99% of projects,3,3
Australia,Male,37,Employed full-time,Internet-based,Doctoral degree,Computer Science,4.00E+05,USD,Software Developer/Software Engineer,Poorly,Python,Yes,10-25% of projects,9,9
Italy,Male,48,Employed full-time,Mix of fields,Master's degree,Physics,60000,EUR,DBA/Database Engineer,Poorly,Python,Sort of (Explain more),76-99% of projects,4,4
Philippines,Female,37,Employed full-time,Academic,Doctoral degree,Electrical Engineering,1.00E+06,PHP,Engineer,Fine,Matlab,Yes,51-75% of projects,8,8
Sweden,Male,41,Employed full-time,Technology,Master's degree,Computer Science,103000,USD,Software Developer/Software Engineer,Poorly,Python,Yes,76-99% of projects,7,7
Egypt,Male,32,Employed full-time,Technology,Master's degree,Electrical Engineering,156000,EGP,Software Developer/Software Engineer,Fine,Python,Yes,76-99% of projects,5,5
United Kingdom,Male,28,Employed full-time,Other,Doctoral degree,Physics,38000,GBP,Machine Learning Engineer,Perfectly,Python,Yes,Less than 10% of projects,9,9
Denmark,Male,34,Employed full-time,Technology,Doctoral degree,Physics,4.00E+05,DKK,Scientist/Researcher,Perfectly,Python,Yes,100% of projects,9,9
Norway,"Non-binary, genderqueer, or gender non-conforming",33,Employed full-time,Technology,Doctoral degree,Computer Science,75000,USD,Software Developer/Software Engineer,Fine,Python,Yes,51-75% of projects,10 - Highly Satisfied,10
Singapore,Male,25,Employed full-time,Telecommunications,Bachelor's degree,Mathematics or statistics,54000,SGD,Data Analyst,Poorly,Python,No,26-50% of projects,7,7
United States,Male,38,Employed full-time,Insurance,Bachelor's degree,Computer Science,74000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,7,7
South Africa,Male,36,Employed full-time,Technology,Master's degree,Mathematics or statistics,250000,USD,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,8,8
United States,Male,30,Employed full-time,CRM/Marketing,Master's degree,Mathematics or statistics,62500,USD,Data Analyst,Fine,Python,No,Less than 10% of projects,8,8
United States,Male,37,Employed full-time,Non-profit,Bachelor's degree,A humanities discipline,120000,USD,Data Analyst,Fine,SQL,Sort of (Explain more),100% of projects,10 - Highly Satisfied,10
Brazil,Male,27,Employed full-time,Technology,Master's degree,Computer Science,80000,BRL,Computer Scientist,Fine,Python,Yes,26-50% of projects,8,8
United States,Male,34,Employed full-time,Financial,Bachelor's degree,Engineering (non-computer focused),4.00E+05,USD,Machine Learning Engineer,Poorly,Python,Sort of (Explain more),100% of projects,8,8
United States,Male,43,Employed full-time,Academic,Doctoral degree,Other,150000,USD,Other,Perfectly,Scala,No,76-99% of projects,8,8
India,Male,34,Employed full-time,Technology,Master's degree,Computer Science,1500000,INR,Software Developer/Software Engineer,Fine,R,Yes,76-99% of projects,7,7
Mexico,Male,42,Employed part-time,Academic,Master's degree,Electrical Engineering,250000,MXN,Researcher,Fine,R,Yes,51-75% of projects,8,8
United States,Male,52,Employed full-time,Mix of fields,Master's degree,Physics,150000,USD,Machine Learning Engineer,Fine,Python,Yes,Less than 10% of projects,9,9
Nigeria,Female,43,Employed full-time,Academic,Doctoral degree,Computer Science,150000,NGN,Other,Perfectly,Python,Yes,10-25% of projects,6,6
Germany,Male,31,Employed full-time,Manufacturing,Master's degree,Engineering (non-computer focused),90000,CHF,Engineer,Perfectly,Python,No,10-25% of projects,7,7
Colombia,Male,42,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),50000,USD,Scientist/Researcher,Fine,R,Sort of (Explain more),51-75% of projects,8,8
India,Male,30,"Independent contractor, freelancer, or self-employed",Academic,Master's degree,Computer Science,4.00E+05,INR,Researcher,Fine,Python,Sort of (Explain more),Less than 10% of projects,8,8
India,Male,21,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,0,INR,Programmer,Fine,R,No,None,5,5
India,Male,48,Employed full-time,Technology,Master's degree,Electrical Engineering,150000,USD,Machine Learning Engineer,Poorly,Python,Yes,10-25% of projects,1 - Highly Dissatisfied,1
Ireland,Female,29,Employed full-time,Academic,Master's degree,Computer Science,18000,EUR,Researcher,Fine,Python,No,10-25% of projects,5,5
Poland,Male,32,"Independent contractor, freelancer, or self-employed",Other,Master's degree,A humanities discipline,120000,PLN,Machine Learning Engineer,Fine,Haskell,Yes,Less than 10% of projects,10 - Highly Satisfied,10
France,Male,43,Employed full-time,Telecommunications,Doctoral degree,Computer Science,40000,EUR,Machine Learning Engineer,Perfectly,Python,Yes,10-25% of projects,7,7
Ukraine,Male,35,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,84000,UAH,Statistician,Fine,R,Yes,Less than 10% of projects,8,8
Brazil,Male,33,Employed part-time,Government,Master's degree,Computer Science,57600,BRL,Machine Learning Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,8,8
Italy,Male,26,Employed full-time,Internet-based,Master's degree,Computer Science,36000,EUR,Machine Learning Engineer,Poorly,Other,Yes,Less than 10% of projects,5,5
Brazil,Male,22,Employed full-time,Technology,Some college/university study without earning a bachelor's degree,Management information systems,39000,BRL,Business Analyst,Poorly,SQL,No,76-99% of projects,3,3
India,Male,27,Employed part-time,Pharmaceutical,Bachelor's degree,Computer Science,3.00E+05,INR,Programmer,Poorly,Python,Yes,10-25% of projects,3,3
Italy,Male,42,Employed full-time,Technology,Master's degree,Computer Science,38000,EUR,Software Developer/Software Engineer,Poorly,R,Sort of (Explain more),100% of projects,5,5
India,Male,29,Employed full-time,Internet-based,Master's degree,Electrical Engineering,3.00E+06,INR,Data Analyst,Fine,R,Sort of (Explain more),51-75% of projects,7,7
Brazil,Male,36,Employed full-time,Government,Bachelor's degree,Mathematics or statistics,140000,BRL,Data Analyst,Poorly,R,Yes,100% of projects,7,7
Turkey,Male,27,Employed full-time,Technology,Bachelor's degree,Computer Science,54000,TRY,Scientist/Researcher,Poorly,Python,No,76-99% of projects,9,9
United States,Male,25,Employed full-time,Academic,Bachelor's degree,Biology,30000,USD,Scientist/Researcher,Perfectly,R,Yes,100% of projects,6,6
India,Male,24,Employed full-time,Mix of fields,Bachelor's degree,Engineering (non-computer focused),315000,INR,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,9,9
Other,Male,35,Employed full-time,Technology,Doctoral degree,Computer Science,80000,USD,Computer Scientist,Fine,Python,Yes,76-99% of projects,9,9
France,Male,37,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Computer Science,50000,EUR,Software Developer/Software Engineer,Poorly,Python,Yes,100% of projects,1 - Highly Dissatisfied,1
United States,Male,26,Employed full-time,Other,Master's degree,Computer Science,60000,USD,Data Analyst,Fine,R,No,51-75% of projects,5,5
Hong Kong,Female,24,Employed part-time,Mix of fields,Master's degree,Physics,144000,HKD,Data Analyst,Fine,Python,Yes,51-75% of projects,5,5
France,Male,56,Employed full-time,Internet-based,Master's degree,Biology,95000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,76-99% of projects,8,8
United States,Female,47,Employed full-time,Other,Master's degree,Biology,72000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),10-25% of projects,4,4
Canada,Male,28,Employed full-time,Academic,Master's degree,Engineering (non-computer focused),35000,CAD,Scientist/Researcher,Perfectly,R,Yes,76-99% of projects,6,6
Italy,Male,28,Employed full-time,Academic,Master's degree,Biology,13000,EUR,Other,Fine,R,Sort of (Explain more),10-25% of projects,8,8
United States,Male,31,Employed full-time,Technology,Master's degree,Computer Science,150000,USD,Software Developer/Software Engineer,Poorly,Python,Yes,51-75% of projects,1 - Highly Dissatisfied,1
People 's Republic of China,Male,22,"Independent contractor, freelancer, or self-employed",Retail,Bachelor's degree,Computer Science,20000,CNY,Computer Scientist,Perfectly,Python,Yes,76-99% of projects,2,2
Canada,Male,64,Employed full-time,Academic,Doctoral degree,A social science,90000,EUR,Scientist/Researcher,Fine,Python,Sort of (Explain more),51-75% of projects,10 - Highly Satisfied,10
Malaysia,Male,24,Employed full-time,Hospitality/Entertainment/Sports,Bachelor's degree,Computer Science,52000,MYR,DBA/Database Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,5,5
Ireland,Male,37,Employed full-time,Academic,Doctoral degree,Other,22000,EUR,Scientist/Researcher,Fine,Python,No,76-99% of projects,3,3
United States,Male,49,Employed full-time,Technology,Bachelor's degree,Management information systems,112000,USD,DBA/Database Engineer,Perfectly,R,Sort of (Explain more),100% of projects,7,7
People 's Republic of China,Male,25,Employed full-time,Internet-based,Bachelor's degree,Computer Science,2.00E+05,CNY,Software Developer/Software Engineer,Fine,Java,No,10-25% of projects,7,7
Brazil,Male,39,"Independent contractor, freelancer, or self-employed",Financial,Bachelor's degree,Electrical Engineering,30000,USD,Software Developer/Software Engineer,Fine,Python,Yes,26-50% of projects,8,8
Turkey,Female,32,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Mathematics or statistics,60000,TRY,Software Developer/Software Engineer,Poorly,Python,No,10-25% of projects,1 - Highly Dissatisfied,1
Other,Male,33,Employed full-time,Academic,Doctoral degree,Other,720000,RSD,Scientist/Researcher,Fine,R,Yes,76-99% of projects,6,6
People 's Republic of China,Female,45,Employed full-time,Non-profit,Doctoral degree,Physics,1200,USD,Researcher,Perfectly,Python,No,100% of projects,5,5
