advfront,relaxhr,emailhr,emailmin,tvhr,polviews,wrkstat,email
Agree,2,2,0,2,Slghtly conservative,Working fulltime,120
Not applicable,0,4,0,2,Moderate,Working parttime,240
Strongly agree,6,1,0,2,Extremely liberal,Working fulltime,60
Not applicable,2,0,15,1,Conservative,Working fulltime,15
Not applicable,3,1,0,0,Moderate,Working fulltime,60
Agree,2,30,0,2,Moderate,Working fulltime,1800
Agree,14,0,0,8,Moderate,Working fulltime,0
Not applicable,4,4,0,12,Moderate,Working fulltime,240
Agree,1,20,0,5,Liberal,Working parttime,1200
Agree,10,0,0,5,Moderate,Working parttime,0
Agree,8,1,0,4,Liberal,Working fulltime,60
Disagree,4,2,0,3,Slghtly conservative,Working fulltime,120
Disagree,Not applicable,0,30,2,Moderate,Retired,30
Strongly disagree,Not applicable,0,0,4,Moderate,Retired,0
Disagree,4,1,0,0,Extrmly conservative,Working fulltime,60
Not applicable,Not applicable,2,0,0,Moderate,Keeping house,120
Strongly agree,4,1,0,3,Moderate,Working parttime,60
Disagree,4,1,0,4,Slightly liberal,Working fulltime,60
Disagree,Not applicable,2,0,6,Conservative,Retired,120
Agree,Not applicable,7,0,2,Slightly liberal,Retired,420
Strongly agree,Not applicable,3,0,2,Moderate,Retired,180
Agree,Not applicable,5,0,1,Conservative,"Unempl, laid off",300
Not applicable,Not applicable,14,0,4,Extrmly conservative,Retired,840
Dont know,Not applicable,12,0,0,Don't know,Retired,720
Disagree,3,10,0,6,Moderate,Working fulltime,600
Agree,6,20,0,4,Slghtly conservative,Working fulltime,1200
Agree,4,0,0,4,Moderate,Working fulltime,0
Strongly agree,Not applicable,0,40,0,Slghtly conservative,School,40
Agree,3,20,0,3,Moderate,Working fulltime,1200
Agree,2,0,5,4,Moderate,Working fulltime,5
Agree,Not applicable,2,0,2,Slightly liberal,Retired,120
Not applicable,4,6,0,2,Moderate,Working fulltime,360
Agree,4,1,0,0,Slightly liberal,Working fulltime,60
Disagree,Not applicable,10,0,1,Conservative,Keeping house,600
Not applicable,5,13,0,3,Moderate,Working fulltime,780
Agree,1,10,0,1,Conservative,Working fulltime,600
Agree,1,15,0,0,Liberal,Working fulltime,900
Agree,Not applicable,2,0,2,Slightly liberal,Keeping house,120
Disagree,Not applicable,0,0,0,Moderate,Keeping house,0
Strongly disagree,2,2,0,2,Extrmly conservative,Working fulltime,120
Disagree,Not applicable,0,0,1,Conservative,Other,0
Not applicable,Not applicable,0,15,12,Liberal,Retired,15
Agree,Not applicable,5,0,5,Slghtly conservative,"Unempl, laid off",300
Not applicable,3,8,0,3,Conservative,Working fulltime,480
Agree,3,10,0,1,Conservative,Working fulltime,600
Not applicable,4,20,0,1,Slghtly conservative,Working fulltime,1200
Strongly agree,1,20,0,0,Moderate,Working fulltime,1200
Not applicable,7,2,0,5,Liberal,Working fulltime,120
Agree,Not applicable,0,0,4,Slghtly conservative,Retired,0
Strongly agree,Not applicable,0,0,6,Slightly liberal,Keeping house,0
Agree,Not applicable,0,30,12,Moderate,Keeping house,30
Strongly agree,Not applicable,0,5,1,Moderate,Retired,5
No answer,Not applicable,1,0,4,Extrmly conservative,Retired,60
Agree,6,0,10,8,Extremely liberal,Working fulltime,10
Strongly agree,5,20,0,2,Liberal,Working fulltime,1200
Agree,2,30,0,0,Slghtly conservative,Working fulltime,1800
Not applicable,5,1,0,4,Slghtly conservative,Working fulltime,60
Strongly agree,8,1,0,1,Moderate,Working fulltime,60
Agree,3,5,0,6,Slghtly conservative,Working parttime,300
Agree,6,2,0,2,Conservative,Working fulltime,120
Agree,3,14,0,3,Moderate,Working fulltime,840
Agree,5,10,0,1,Slightly liberal,Working fulltime,600
Agree,1,24,0,4,Liberal,Working fulltime,1440
Agree,3,0,30,2,Moderate,Working fulltime,30
Not applicable,3,1,0,4,Conservative,Working parttime,60
Agree,Not applicable,2,0,3,Slghtly conservative,Retired,120
Not applicable,8,7,0,5,Extrmly conservative,Working parttime,420
Strongly agree,4,1,0,5,Moderate,Working fulltime,60
Not applicable,2,15,0,3,Moderate,Working fulltime,900
Agree,6,15,0,2,Moderate,Working fulltime,900
Agree,Not applicable,3,30,1,Extrmly conservative,Retired,210
Strongly disagree,Dont know,0,30,0,Conservative,Working fulltime,30
Not applicable,4,1,0,2,Conservative,Working fulltime,60
Strongly agree,5,2,0,2,Moderate,Working parttime,120
Strongly agree,3,0,0,3,Slightly liberal,Working fulltime,0
Agree,8,45,0,10,Slghtly conservative,Temp not working,2700
Strongly agree,Not applicable,0,0,1,Conservative,Other,0
Not applicable,9,2,0,0,No answer,Working fulltime,120
Agree,Not applicable,5,0,1,Moderate,Other,300
Agree,4,25,0,1,Moderate,Working fulltime,1500
Not applicable,3,0,0,3,Moderate,Temp not working,0
Disagree,0,0,4,5,Conservative,Working fulltime,4
Agree,1,12,0,0,Conservative,Working fulltime,720
Agree,2,0,0,2,Slghtly conservative,Working parttime,0
Not applicable,2,1,0,10,Slightly liberal,Working fulltime,60
Strongly agree,Not applicable,20,0,2,Liberal,School,1200
Strongly agree,4,0,0,2,Slghtly conservative,Working fulltime,0
Disagree,Not applicable,2,0,1,Moderate,Keeping house,120
Agree,Not applicable,0,30,2,Moderate,School,30
Strongly agree,0,20,0,1,Liberal,Working fulltime,1200
Not applicable,Not applicable,2,0,1,Slightly liberal,School,120
Strongly agree,Not applicable,2,0,1,Extremely liberal,School,120
Strongly agree,Not applicable,2,0,5,Liberal,School,120
Not applicable,Not applicable,6,0,2,Slightly liberal,School,360
Strongly agree,4,30,0,3,Moderate,Working fulltime,1800
Agree,Not applicable,0,0,5,Moderate,Retired,0
Not applicable,4,1,0,3,Extremely liberal,Working fulltime,60
Agree,2,4,0,0,Liberal,Working parttime,240
Agree,6,5,0,1,Moderate,Working fulltime,300
Agree,2,10,0,2,Slghtly conservative,Working fulltime,600
Not applicable,Not applicable,2,0,6,Moderate,Other,120
Disagree,Not applicable,2,0,14,Moderate,Retired,120
Not applicable,8,2,0,3,Moderate,Working fulltime,120
Disagree,4,30,0,2,Slghtly conservative,Working fulltime,1800
Not applicable,5,1,0,3,Moderate,Working fulltime,60
Agree,Not applicable,1,0,2,Slghtly conservative,Retired,60
Not applicable,Not applicable,2,0,3,Moderate,Retired,120
Strongly disagree,Not applicable,14,0,6,Extrmly conservative,Keeping house,840
Agree,2,15,0,2,Liberal,Working fulltime,900
Agree,3,10,0,2,Extrmly conservative,Working fulltime,600
Agree,4,3,0,3,Moderate,Temp not working,180
Not applicable,4,24,0,6,Extrmly conservative,Working fulltime,1440
Agree,4,1,0,5,Slghtly conservative,Working fulltime,60
Agree,4,1,0,1,Slghtly conservative,Working fulltime,60
Agree,Not applicable,1,0,2,Conservative,Retired,60
Agree,5,6,0,2,Slightly liberal,Working fulltime,360
Not applicable,Not applicable,1,0,1,Slghtly conservative,Retired,60
Agree,2,20,0,1,Moderate,Working fulltime,1200
Agree,Not applicable,0,0,3,Moderate,Retired,0
Not applicable,5,5,0,3,Moderate,Working fulltime,300
Agree,Not applicable,7,0,2,Moderate,Retired,420
Strongly agree,2,6,0,3,Extremely liberal,Working fulltime,360
Not applicable,4,20,0,3,Moderate,Working fulltime,1200
Not applicable,4,0,0,1,Conservative,Working fulltime,0
Agree,5,2,0,2,Moderate,Working fulltime,120
Not applicable,5,5,0,4,Moderate,Working fulltime,300
Agree,2,40,0,3,Slghtly conservative,Working fulltime,2400
Agree,6,1,0,1,Moderate,Working fulltime,60
Not applicable,4,0,15,4,Moderate,Working fulltime,15
Strongly agree,Not applicable,4,0,2,Extremely liberal,Retired,240
Agree,Not applicable,2,0,5,Conservative,Retired,120
Agree,Not applicable,2,0,1,Conservative,School,120
Not applicable,3,1,0,3,Moderate,Working fulltime,60
Strongly agree,2,15,0,0,Extrmly conservative,Working fulltime,900
Disagree,2,0,30,1,Moderate,Temp not working,30
Agree,4,30,0,2,Moderate,Working fulltime,1800
Agree,0,8,0,0,Slghtly conservative,Working parttime,480
Agree,6,5,0,4,Extrmly conservative,Working fulltime,300
Agree,5,5,0,1,Extrmly conservative,Working parttime,300
Not applicable,4,10,0,1,Moderate,Working fulltime,600
Agree,1,0,10,1,Slghtly conservative,Working fulltime,10
Disagree,Not applicable,0,0,0,Slightly liberal,Keeping house,0
Not applicable,4,24,0,3,Liberal,Working fulltime,1440
Strongly agree,0,0,0,4,Moderate,Working fulltime,0
Strongly agree,Not applicable,1,0,3,Conservative,Retired,60
Agree,4,1,0,2,Slghtly conservative,Working fulltime,60
Disagree,4,3,0,0,Conservative,Working fulltime,180
Not applicable,4,15,0,2,Slghtly conservative,Working parttime,900
Agree,2,1,0,6,Moderate,Working fulltime,60
Strongly agree,4,6,0,2,Moderate,Working fulltime,360
Agree,4,20,0,2,Moderate,Working fulltime,1200
Strongly agree,Not applicable,1,0,1,Moderate,Retired,60
Agree,1,2,0,2,Slghtly conservative,Working fulltime,120
Agree,4,20,0,0,Slightly liberal,Working fulltime,1200
Not applicable,5,0,0,2,Extrmly conservative,Temp not working,0
Strongly agree,1,40,0,3,Extrmly conservative,Working fulltime,2400
Agree,Not applicable,0,2,5,Slghtly conservative,Retired,2
Strongly disagree,8,0,0,12,Moderate,Working fulltime,0
Disagree,4,15,0,4,Conservative,Working fulltime,900
Not applicable,2,25,0,1,Slghtly conservative,Working fulltime,1500
Agree,Not applicable,5,0,4,Slghtly conservative,Retired,300
Agree,4,1,0,1,Moderate,Working fulltime,60
Disagree,Not applicable,1,30,2,Conservative,Retired,90
Disagree,5,2,0,3,Moderate,Working fulltime,120
Disagree,6,2,0,4,Don't know,Working fulltime,120
Agree,3,10,0,3,Moderate,Working parttime,600
Not applicable,Not applicable,7,0,5,Conservative,Retired,420
Agree,Not applicable,0,5,1,Conservative,Retired,5
Agree,3,1,0,2,Slghtly conservative,Working fulltime,60
Not applicable,8,10,0,1,Liberal,Working fulltime,600
Strongly agree,8,2,0,5,Don't know,Working parttime,120
Not applicable,0,1,0,2,Conservative,Working parttime,60
Agree,2,15,0,2,Slghtly conservative,Working fulltime,900
Not applicable,Not applicable,1,0,8,Don't know,Other,60
Agree,2,3,0,3,Moderate,Working fulltime,180
Agree,2,1,0,1,Conservative,Working fulltime,60
Agree,Not applicable,1,0,2,Moderate,Keeping house,60
Agree,Not applicable,0,30,2,Slghtly conservative,Retired,30
Agree,4,0,20,2,Liberal,Working fulltime,20
Agree,0,3,0,0,Moderate,Working fulltime,180
Strongly agree,12,10,0,1,Don't know,Working fulltime,600
Disagree,4,0,0,4,Conservative,Working parttime,0
Not applicable,Not applicable,1,0,4,Don't know,Keeping house,60
Disagree,Not applicable,0,0,0,Don't know,"Unempl, laid off",0
Dont know,Not applicable,1,0,6,Moderate,Other,60
Agree,8,12,0,0,Conservative,Working fulltime,720
Agree,0,0,0,4,Moderate,Working fulltime,0
Disagree,2,20,0,1,Slghtly conservative,Working fulltime,1200
Not applicable,Not applicable,14,0,2,Moderate,Keeping house,840
Agree,Not applicable,0,0,1,Extremely liberal,Keeping house,0
Agree,Not applicable,0,0,24,Extrmly conservative,Retired,0
Not applicable,3,0,10,3,Moderate,Working fulltime,10
Agree,6,14,0,2,Moderate,Working fulltime,840
Agree,Not applicable,10,0,2,Moderate,Keeping house,600
Agree,4,0,0,0,Slightly liberal,Working fulltime,0
Agree,2,0,0,1,Slghtly conservative,Working fulltime,0
Disagree,4,0,0,4,Moderate,Working fulltime,0
Not applicable,No answer,6,0,2,Conservative,Temp not working,360
Disagree,5,2,0,3,Moderate,Working fulltime,120
Not applicable,4,0,0,8,Moderate,Working fulltime,0
Agree,Not applicable,2,0,10,Slghtly conservative,"Unempl, laid off",120
Strongly agree,3,1,0,1,Slghtly conservative,Working fulltime,60
Not applicable,5,6,0,4,Extrmly conservative,Working fulltime,360
Agree,3,10,0,3,Slightly liberal,Working fulltime,600
Not applicable,7,0,0,8,Conservative,Working parttime,0
Disagree,Not applicable,0,0,1,Conservative,Keeping house,0
Dont know,3,0,0,1,Extremely liberal,Working fulltime,0
Strongly agree,Not applicable,1,0,3,Moderate,"Unempl, laid off",60
Agree,3,4,0,1,Conservative,Working fulltime,240
Agree,2,5,0,2,Moderate,Working fulltime,300
Strongly agree,5,1,0,3,Moderate,Working fulltime,60
Strongly agree,3,2,0,2,Extremely liberal,Working fulltime,120
Agree,2,30,0,3,Slghtly conservative,Working fulltime,1800
Strongly agree,Not applicable,5,0,2,Moderate,Retired,300
Strongly agree,Not applicable,8,0,3,Moderate,Keeping house,480
Not applicable,4,1,0,3,Moderate,Working fulltime,60
Agree,4,0,10,0,Moderate,Working fulltime,10
Strongly agree,0,25,0,0,Moderate,Working fulltime,1500
Agree,4,2,10,1,Liberal,Working fulltime,130
Agree,4,6,0,5,Slghtly conservative,Working fulltime,360
Strongly agree,8,2,0,6,Moderate,Working fulltime,120
Agree,1,1,0,1,No answer,Working fulltime,60
Agree,8,1,0,1,Conservative,Working parttime,60
Strongly agree,6,10,0,4,Slightly liberal,Working fulltime,600
Strongly agree,Not applicable,2,0,0,Extremely liberal,Retired,120
Agree,7,0,0,1,Slghtly conservative,Working parttime,0
Strongly agree,3,4,0,1,Slghtly conservative,Working fulltime,240
Strongly agree,Not applicable,24,0,0,Moderate,School,1440
Disagree,Not applicable,2,0,3,Conservative,Keeping house,120
Agree,5,2,0,2,Slghtly conservative,Working fulltime,120
Disagree,Not applicable,1,0,0,Slghtly conservative,Retired,60
Not applicable,1,30,0,1,Slghtly conservative,Working fulltime,1800
Strongly agree,No answer,30,0,1,Moderate,Working fulltime,1800
Not applicable,Not applicable,0,45,0,Moderate,School,45
Strongly agree,3,5,0,2,Liberal,Working fulltime,300
Not applicable,Not applicable,3,0,6,Conservative,Keeping house,180
Strongly agree,2,16,0,1,Moderate,Working fulltime,960
Disagree,4,0,15,1,Conservative,Working parttime,15
Agree,Not applicable,0,0,6,Conservative,Retired,0
Strongly agree,4,0,0,2,Conservative,Working fulltime,0
Strongly disagree,4,2,0,3,Moderate,Working fulltime,120
Not applicable,5,5,0,1,Slghtly conservative,Working fulltime,300
Agree,2,2,0,4,Moderate,Working fulltime,120
Strongly agree,Not applicable,7,0,1,Extremely liberal,Keeping house,420
Agree,4,5,0,2,Don't know,Working fulltime,300
Disagree,4,0,3,1,Conservative,Working fulltime,3
Not applicable,2,0,0,0,Moderate,Working fulltime,0
Agree,2,1,0,1,Moderate,Working fulltime,60
Agree,4,1,0,1,Moderate,Working fulltime,60
Agree,Not applicable,0,0,2,Slghtly conservative,Keeping house,0
Agree,Not applicable,2,0,6,Slightly liberal,Retired,120
Agree,6,48,0,1,Slightly liberal,Working fulltime,2880
Agree,Not applicable,0,20,6,Moderate,"Unempl, laid off",20
Strongly agree,Not applicable,0,30,5,Moderate,Retired,30
Agree,1,10,0,1,Moderate,Working fulltime,600
Not applicable,Not applicable,0,30,10,Moderate,Keeping house,30
Strongly agree,3,0,30,1,Extremely liberal,Working fulltime,30
Not applicable,0,1,0,4,Slightly liberal,Working fulltime,60
Disagree,Not applicable,6,0,2,Moderate,Keeping house,360
Not applicable,Not applicable,10,0,5,Moderate,Retired,600
Strongly agree,0,0,0,6,Conservative,Working parttime,0
Agree,Not applicable,0,0,0,Moderate,"Unempl, laid off",0
Disagree,Not applicable,1,0,3,Moderate,Keeping house,60
Strongly agree,Not applicable,3,30,3,Slightly liberal,Retired,210
Not applicable,Not applicable,0,0,4,Slightly liberal,Retired,0
Agree,Not applicable,0,0,5,Extremely liberal,Keeping house,0
Not applicable,Not applicable,0,0,3,Liberal,Retired,0
Not applicable,2,1,0,0,Liberal,Working fulltime,60
Agree,3,3,0,2,Conservative,Working fulltime,180
Not applicable,4,10,0,3,Conservative,Working fulltime,600
Agree,Not applicable,1,0,1,Slightly liberal,School,60
Not applicable,Not applicable,2,0,3,Conservative,Keeping house,120
Agree,1,14,0,1,Slightly liberal,Working fulltime,840
Agree,Not applicable,2,0,2,Moderate,School,120
Strongly agree,Not applicable,1,0,2,Liberal,School,60
Not applicable,Not applicable,7,0,2,Conservative,Keeping house,420
Disagree,Not applicable,1,0,2,Slghtly conservative,Retired,60
Not applicable,Not applicable,1,0,3,Moderate,Retired,60
Not applicable,1,0,0,2,Extrmly conservative,Working parttime,0
Disagree,Not applicable,0,0,1,Conservative,Keeping house,0
Agree,Dont know,10,0,1,Conservative,Working fulltime,600
Agree,2,1,0,1,Moderate,Working fulltime,60
Not applicable,Not applicable,7,0,3,Moderate,Retired,420
Agree,Not applicable,2,0,1,Extrmly conservative,Retired,120
Agree,Not applicable,2,0,2,Conservative,Retired,120
Strongly agree,8,4,0,3,Extremely liberal,Working fulltime,240
Strongly disagree,No answer,3,0,2,Extremely liberal,Temp not working,180
Strongly agree,3,2,0,0,Moderate,Working fulltime,120
Not applicable,4,0,0,2,Moderate,Working fulltime,0
Strongly agree,7,0,0,4,Slightly liberal,Working parttime,0
Agree,1,5,0,1,Slightly liberal,Working fulltime,300
Not applicable,4,15,0,0,Extremely liberal,Working fulltime,900
Strongly agree,1,7,0,2,Liberal,Working fulltime,420
Strongly agree,6,10,0,3,Slightly liberal,Working fulltime,600
Strongly agree,Not applicable,1,0,0,Don't know,"Unempl, laid off",60
Disagree,2,7,0,2,Liberal,Working fulltime,420
Agree,1,10,0,2,Extrmly conservative,Working fulltime,600
Strongly agree,2,2,0,0,Liberal,Working fulltime,120
Agree,5,0,15,3,Moderate,Working fulltime,15
Not applicable,Not applicable,0,0,9,Liberal,Retired,0
Strongly agree,Not applicable,10,0,4,Conservative,Keeping house,600
Not applicable,Not applicable,2,0,6,Extremely liberal,Keeping house,120
Agree,4,0,5,3,Moderate,Working parttime,5
Agree,1,1,0,0,Conservative,Working fulltime,60
Agree,Not applicable,1,0,3,Liberal,Retired,60
Agree,3,1,0,2,Extrmly conservative,Working fulltime,60
Not applicable,Not applicable,0,30,2,Conservative,Retired,30
Agree,Not applicable,1,0,3,Extrmly conservative,Keeping house,60
Strongly agree,Not applicable,0,0,7,Slghtly conservative,Keeping house,0
Agree,4,1,0,3,Moderate,Working fulltime,60
Strongly agree,2,0,35,1,Slghtly conservative,Working fulltime,35
Strongly agree,Not applicable,0,5,5,Moderate,Retired,5
Not applicable,Not applicable,5,0,4,Moderate,Retired,300
Agree,3,2,0,2,Extrmly conservative,Working fulltime,120
Not applicable,Not applicable,3,0,3,Extrmly conservative,Keeping house,180
Dont know,Not applicable,0,0,1,Slightly liberal,School,0
Strongly disagree,Not applicable,0,0,10,Extremely liberal,Keeping house,0
Disagree,4,3,0,10,Conservative,Working fulltime,180
Agree,0,30,0,2,Moderate,Working parttime,1800
Not applicable,4,20,0,3,Slightly liberal,Working fulltime,1200
Agree,4,2,0,3,Moderate,Working fulltime,120
Not applicable,5,0,0,4,Liberal,Working fulltime,0
Strongly agree,2,1,0,4,Moderate,Working parttime,60
Agree,5,0,30,2,Conservative,Working parttime,30
Agree,10,1,0,1,Conservative,Working fulltime,60
Not applicable,Not applicable,2,0,3,Conservative,Retired,120
Agree,4,0,0,1,Conservative,Working fulltime,0
Not applicable,4,0,0,1,Moderate,Working fulltime,0
Not applicable,6,18,0,2,Slightly liberal,Working fulltime,1080
Strongly agree,1,14,0,1,Moderate,Working fulltime,840
Strongly agree,No answer,3,0,0,Moderate,Working parttime,180
Agree,Not applicable,0,30,1,Slghtly conservative,Keeping house,30
Strongly agree,2,1,0,2,Slghtly conservative,Working fulltime,60
Agree,2,2,0,4,Moderate,Working fulltime,120
Agree,6,1,0,3,Moderate,Working fulltime,60
Not applicable,No answer,10,0,2,Slghtly conservative,Working fulltime,600
Agree,Not applicable,0,0,4,Conservative,Retired,0
Agree,No answer,0,10,3,Conservative,Working fulltime,10
Agree,2,1,0,0,Moderate,Working fulltime,60
Agree,Not applicable,0,30,2,Moderate,Keeping house,30
Not applicable,Not applicable,10,0,3,Conservative,Retired,600
Not applicable,5,0,30,2,Moderate,Temp not working,30
Strongly agree,No answer,5,0,1,Moderate,Working fulltime,300
Strongly agree,6,10,0,5,Conservative,Working fulltime,600
Strongly agree,11,6,0,1,Conservative,Working fulltime,360
Strongly agree,Not applicable,2,0,1,Liberal,Retired,120
Not applicable,Not applicable,0,5,4,Conservative,"Unempl, laid off",5
Strongly agree,1,6,0,1,Liberal,Working fulltime,360
Agree,3,4,0,1,Moderate,Working fulltime,240
Strongly agree,Not applicable,2,0,3,Liberal,Keeping house,120
Not applicable,8,14,0,5,Extrmly conservative,Working parttime,840
Dont know,3,2,0,4,Liberal,Working fulltime,120
Agree,6,1,0,1,Moderate,Working parttime,60
Not applicable,Not applicable,6,0,6,Moderate,Keeping house,360
Strongly agree,Not applicable,0,10,2,Extremely liberal,Retired,10
Not applicable,Not applicable,1,0,6,Liberal,Retired,60
Disagree,Not applicable,6,0,8,Extrmly conservative,Keeping house,360
Disagree,Not applicable,0,10,1,Extrmly conservative,School,10
Agree,Not applicable,0,0,4,Don't know,Other,0
Not applicable,0,0,0,3,Moderate,Temp not working,0
Not applicable,Not applicable,1,0,4,Conservative,Other,60
Agree,2,5,0,3,Moderate,Working parttime,300
Not applicable,3,4,0,7,Slghtly conservative,Working fulltime,240
Strongly agree,2,0,10,2,Liberal,Working fulltime,10
Strongly agree,0,4,0,2,Moderate,Working fulltime,240
Agree,2,2,0,2,Moderate,Working fulltime,120
Agree,6,1,0,1,Liberal,Working fulltime,60
Not applicable,1,45,0,1,Moderate,Working fulltime,2700
Disagree,3,0,10,2,Conservative,Working parttime,10
Agree,0,1,0,2,Conservative,Working fulltime,60
Strongly agree,2,3,0,2,Moderate,Working fulltime,180
Agree,Not applicable,1,0,3,Conservative,Retired,60
Agree,Not applicable,0,0,5,Slghtly conservative,Retired,0
Agree,8,30,0,2,Moderate,Working fulltime,1800
Agree,1,2,0,1,Moderate,Working fulltime,120
Disagree,4,1,0,0,Moderate,Working fulltime,60
Not applicable,Not applicable,15,0,5,Moderate,Retired,900
Strongly agree,6,3,0,1,Slightly liberal,Working parttime,180
Strongly agree,Not applicable,4,0,5,Moderate,Retired,240
Agree,Not applicable,5,0,1,Conservative,Keeping house,300
Agree,0,0,10,2,Slightly liberal,Working fulltime,10
Agree,Not applicable,0,2,4,Extremely liberal,Retired,2
Agree,2,0,30,1,Moderate,Working fulltime,30
Strongly agree,3,0,0,3,Slghtly conservative,Working parttime,0
Agree,1,7,0,2,Slghtly conservative,Working fulltime,420
Strongly agree,2,0,30,1,Liberal,Working fulltime,30
Agree,4,2,0,2,Conservative,Working fulltime,120
Agree,2,1,0,Don't know,Moderate,Working fulltime,60
Strongly agree,2,2,30,2,Conservative,Working parttime,150
Agree,1,6,0,1,Slghtly conservative,Working fulltime,360
Strongly agree,Not applicable,90,0,2,Slightly liberal,Retired,5400
Not applicable,Not applicable,70,0,16,Moderate,Retired,4200
Disagree,2,3,0,14,Moderate,Working fulltime,180
Agree,2,3,30,2,Moderate,Working fulltime,210
Agree,2,10,0,2,Moderate,Working fulltime,600
Agree,5,0,0,1,Moderate,Working fulltime,0
Not applicable,5,0,0,0,Conservative,Working parttime,0
Agree,10,1,0,4,Moderate,Working parttime,60
Not applicable,Not applicable,1,0,3,Conservative,Retired,60
Disagree,Not applicable,5,0,5,Extremely liberal,Retired,300
Disagree,Not applicable,2,0,3,Conservative,Keeping house,120
Not applicable,Not applicable,0,0,2,Slghtly conservative,Keeping house,0
Agree,2,12,0,3,Conservative,Working fulltime,720
Disagree,Not applicable,15,0,3,Slghtly conservative,Retired,900
Not applicable,Not applicable,1,0,2,Slightly liberal,"Unempl, laid off",60
Agree,Not applicable,0,0,24,Slghtly conservative,Retired,0
Agree,2,0,30,3,Slghtly conservative,Working fulltime,30
Agree,5,3,0,1,Slghtly conservative,Working fulltime,180
Disagree,5,3,0,1,Slghtly conservative,Working fulltime,180
Not applicable,5,0,20,3,Slightly liberal,Working fulltime,20
Agree,4,0,0,2,Moderate,Working fulltime,0
Agree,3,0,10,2,Slightly liberal,Working fulltime,10
Agree,Not applicable,0,0,4,Liberal,Retired,0
Agree,4,4,0,2,Slightly liberal,Working fulltime,240
Agree,4,0,0,3,Slghtly conservative,Working parttime,0
Not applicable,4,0,0,1,Moderate,Working fulltime,0
Agree,4,0,0,0,Slightly liberal,Working fulltime,0
Agree,Not applicable,16,0,4,Conservative,Retired,960
Agree,2,5,0,3,Slghtly conservative,Working fulltime,300
Agree,6,0,0,3,Slghtly conservative,Working fulltime,0
Strongly agree,1,5,0,1,Moderate,Temp not working,300
Agree,6,0,0,10,Moderate,Working fulltime,0
Disagree,2,0,10,4,Moderate,Working fulltime,10
Not applicable,8,1,0,2,Conservative,Working fulltime,60
Agree,Not applicable,0,0,3,Slightly liberal,Retired,0
Strongly agree,5,1,0,1,Extremely liberal,Working fulltime,60
Agree,5,6,0,7,Moderate,Working fulltime,360
Disagree,Not applicable,0,0,5,Slghtly conservative,"Unempl, laid off",0
Agree,Not applicable,0,0,3,Conservative,Retired,0
Not applicable,Not applicable,0,0,2,Conservative,Keeping house,0
Strongly disagree,6,6,0,5,Moderate,Working fulltime,360
Strongly agree,2,0,30,0,Conservative,Working fulltime,30
Disagree,Not applicable,1,44,2,Extrmly conservative,Other,104
Not applicable,1,1,0,2,Slghtly conservative,Working fulltime,60
Disagree,Not applicable,1,0,3,Conservative,Keeping house,60
Agree,1,0,20,1,Don't know,Working fulltime,20
Disagree,1,10,0,2,Moderate,Working fulltime,600
Agree,3,0,30,1,Liberal,Working fulltime,30
Agree,Not applicable,20,0,3,Moderate,"Unempl, laid off",1200
Agree,8,1,0,1,Moderate,Working fulltime,60
Strongly agree,2,2,0,3,Extrmly conservative,Working parttime,120
Strongly agree,Not applicable,4,0,8,Slghtly conservative,Retired,240
Agree,5,0,5,0,Liberal,Working fulltime,5
Agree,2,4,0,4,Moderate,Working fulltime,240
Not applicable,Not applicable,0,0,3,Moderate,Retired,0
Agree,Not applicable,0,0,0,Slghtly conservative,School,0
Agree,Not applicable,4,0,2,Moderate,Keeping house,240
Agree,8,1,0,1,Conservative,Working fulltime,60
Agree,3,2,0,2,Conservative,Working fulltime,120
Agree,Not applicable,1,0,4,Extremely liberal,Retired,60
Not applicable,2,6,0,0,Conservative,Working fulltime,360
Disagree,Not applicable,3,0,0,Liberal,Keeping house,180
Agree,Not applicable,3,0,5,Moderate,Retired,180
Agree,2,0,10,1,Liberal,Working fulltime,10
Not applicable,Not applicable,0,0,2,Slightly liberal,Keeping house,0
Strongly agree,Not applicable,2,0,2,Liberal,Keeping house,120
Not applicable,2,10,0,1,Slghtly conservative,Working fulltime,600
Strongly agree,Not applicable,0,15,3,Moderate,Retired,15
Strongly agree,Not applicable,10,0,2,Moderate,Retired,600
Strongly agree,2,15,0,2,Moderate,Working fulltime,900
Not applicable,4,10,0,2,Moderate,Working fulltime,600
Agree,2,2,0,1,Moderate,Working fulltime,120
Disagree,Not applicable,4,0,5,No answer,Retired,240
Agree,4,20,0,2,Moderate,Working fulltime,1200
Strongly agree,5,0,0,6,Slghtly conservative,Working parttime,0
Agree,Not applicable,7,0,1,Conservative,Retired,420
Agree,Not applicable,7,0,1,Don't know,Keeping house,420
